PARK,Fields,Club,Location address 1,Alternative address #2,,,Location Map,Field Map,,,,
Polonia SP,,Polonia Soccer Club,"10200 W Loomis Rd,",Franklin,WI,53132,"https://www.google.com/maps/dir/''/polonia+soccer+park/@42.8859527,-88.1188949,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88050da81c3727eb:0xec2a13539993dd2b!2m2!1d-88.048855!2d42.885974",no field map,,,,
Port Washington SC fields,Field Map,,"Kohler Credit Union Fields, 1125 S. Spring St.",Port Washington,WI,53074,"https://www.google.com/maps/dir//1125+S+Spring+St,+Port+Washington,+WI+53074/@43.3747014,-87.8971277,745m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x8804e9762ff0b67f:0xb345eee37519f663!2m2!1d-87.8949337!2d43.3746975!3e0",,,,,
Premier Sports Complex,,ECNL,"5895 Post Blvd., ",Lakewood Ranch,FL,34211,,,,,,
Pride Performance,,FC Pride,"Pride Performance indoor center,11960 E 62nd Street, Indianapolis, IN 46235",,,,,,,,,
Pritchard,Stadium Field,Red Star Soccer Club,"2800 Ohio St,",Racine,WI,53406,"https://www.google.com/maps/dir//Pritchard+Park,+2800+Ohio+St,+Racine,+WI+53406/@43.004371,-88.015847,10z/data=!4m9!4m8!1m0!1m5!1m1!1s0x880542b9c857b21b:0x80d13467b04eba38!2m2!1d-87.8381312!2d42.6980586!3e0?entry=ttu",,,,,
PWSB Soccer Park,#2,Northshore United,N143 W6499 Layton St.,Cedarburg,WI,53012,"https://www.google.com/maps/place/PWSB+Soccer+Park/@43.2778185,-87.9941582,17z/data=!3m1!4b1!4m5!3m4!1s0x8804e51f2c1ab00d:0xc6a62c8957412f82!8m2!3d43.2778185!4d-87.9919695?hl=en",,,,,
QUARRY PARK,Quarry Park,,"1625 Quarry Park Drive,De Pere, WI",WI,,,54115,"<p>Town of Lawrence - From Hwy 41 to Scheuring Road exit; Go west on Scheuring Road 1/2 mile; Take a right on Quarry Park Drive and proceed to Park; Park is on right.</p>
 
 �",,,,
Quit Qui Sports Complex,,Plymouth SC,"1555 Riverview Rd.,",Plymouth,WI,53073,"https://www.google.com/maps/dir//quit+qui+sports+complex/@43.5438366,-88.3581296,10z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88049d6621fe0d09:0x7431a45ccf529816!2m2!1d-87.9886007!2d43.7639193",,,,,
R.E.A.L School,Indoor turf,ACE,"R.E.A.L School, 10116 Stellar Ave., Sturtevant, WI 53177",,,,,,,,,
Rantoul Sports Complex,Field Map,,744 Murray Rd.,Rantoul,IL,61866,,,,,,
RED SMITH PARK,Red Smith Park,2765 Sussex Rd,"2765 Sussex Rd., Green Bay, WI",WI,,,54311,�,,,,
Reddan SP ,Turf,Madison 56ers/ others,"6874 Cross Country Rd,",Verona,WI,53593,"https://www.google.com/maps/dir//reddan+soccer+park/@43.1671255,-89.453329,9z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8807b03bc7fcf9d9:0x7182a054ce12f0b9!2m2!1d-89.5249907!2d43.0051456",,,,,
Reindahl (Amund) Park,,,1818 Portage Rd.,Madison ,WI,53704,"https://www.google.com/maps/dir//43.1266736,-89.317167/@43.1254154,-89.3170734,414m/data=!3m1!1e3?hl=en",,,,,
Ripp,,Waunakee SC,"Ripp Park, 213 Dorn Dr, Waunakee, WI 53597",,,,,,,,,
River City Park,#06,VA Richmond Strikers,"12838 Genito Rd., Midlothian, VA 23112",,,,,,,,,
River City Park - BACK,#11,Jefferson Cup- VA Richmond Strikers,"13030 Geniot Rd, midlothian, VA 23112",,,,,,,,,
River City Sportsplex,Field Map,Raleigh Strikers,"13030 Genito Road., Midlothian, VA 23112",,,,,,,,,
River Park,,MKSC INFC,"E River Park Ct, Shorewood, WI 53211",,,,,,,,,
"Rotary SP- Elkhorn, WI",,Elkhorn SC,"115 O'Connor Dr, Elkhorn, WI 53121",,,,,,,,,
"Rotary SP- Mequon, WI",Field Map,North Shore United,"4100 Highland Rd, Mequon, WI 53092",,,,,,,,,
Round Rock Multipurpose Complex,FIELD MAP,,"2001 North Kenney Fort Blvd., Round Rock, TX",,,,,,,,,
Routine Field,,SC Wave ,"7035 S. Ballpark Dr. Franklin, WI 53132 (76th and Rawson Avenue)",,,,,,,,,
Scary Hill Park,,FC Wisconsin North,"1865 Scray Hill Rd, De Pere, WI 54115",,,,,,,,,
Scheels USA Youth Complex,Field Map,New United,3300 E.  Evergreen Dr.,Appleton,WI,54913,"https://www.google.com/maps/dir//Scheels+USA+Youth+Sports+Complex+Appleton,+WI+54913/@43.792296,-88.9315555,9z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8803b1848a26cfd5:0xfe911932435f988e!2m2!1d-88.3570079!2d44.304688",,,,,
Schoolcraft College - St. Joe's Sports,,MI Wolves,"18600 Haggerty Rd, Livonia, MI 48152",,,,,,,,,
Schwabenhof,#6,Milwaukee Sports Club,"Milwaukee Sport Club (Schwabenhof) N56 W14750 Silver Spring Dr., ",Menomonee Falls,WI,53051,"https://www.google.com/maps/place/N56W14750+Silver+Spring+Dr,+Menomonee+Falls,+WI+53051/@43.130069,-88.100448,13z/data=!4m5!3m4!1s0x8805018216e4d7ab:0x695929fbebd6c15!8m2!3d43.1211836!4d-88.0957521?hl=en",,,,,
SCORe,#TBA,Racine/Kenosha Union,"SCORe, 9509 Dunkelow Rd.",Franksville,WI,53126,"https://www.google.com/maps/place/Racine+Area+Soccer+Association/@42.7604755,-87.9764234,12z/data=!4m18!1m12!4m11!1m3!2m2!1d-87.9019224!2d42.7600974!1m6!1m2!1s0x8805697cf5d5bdab:0xb7a9a11c97053ba0!2sscores+soccer+racine!2m2!1d-87.9064223!2d42.760504!3m4!1s0x8805697cf5d5bdab:0xb7a9a11c97053ba0!8m2!3d42.760504!4d-87.9064223",,,,,
Scottish Highlands Park,Upper U12,Sun Prairie SC,"300 Stonehaven Dr, ",Sun Prairie,WI,53590,"https://www.google.com/maps/dir//Stoneridge+Estates+Park,+300+Stonehaven+Dr,+Sun+Prairie,+WI+53590/@43.20082,-89.217481,16z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8806f7a5381da25b:0xee15bf3ab2c3fd73!2m2!1d-89.2174812!2d43.2008203!3e0?hl=en",,,,,
Seminole Soccer Complex,Field Map,Orlando Youth Soccer,"1900 Seminole Soccer Loop, Sanford, FL",,,,,,,,,
Seven Hills School,,,"5400 Red Bank Road, Cincinnati, OH 45227",,,,,,,,,
SEYMOUR HIGH SCHOOL,Seymour High School,,"10 Circle Drive, Seymour, WI ",WI,,,54165,"<p>Field 1 &amp; 3 are closest to the west side of the high school,&nbsp; Field 7 is closest to the parking lot in Rock Ledge Park, Entrance across from 663 W High Rd.&nbsp; Field 4 is in the middle of all so park where most convienent.</p>
 
 �",,,,
Slyman Bros SLYSA Complex,,,"3901 Huster Rd, St Charles, MO 63301",,,,,,,,,
Somers Memorial Park,,Red Star SC,"7511 12th St, Kenosha, WI 53144",,,,"7511 12th St, Kenosha, WI 53144",,,,,
Southwest High School-Green Bay,,,"1331 Packerland Dr, Green Bay, WI 54304",,,,,,,,,
Southwest Park,#7,DePere Select Soccer,"Southwest Park, 2472 lawrence Drive, De Pere, WI 54115",,,,,,,,,
SOUTHWEST PARK,Southwest Park,2472 Lawrence Drive,"2472 Lawrence Drive, De Pere, WI",WI,,,54115,"<p>Direction to Southwest Park:&nbsp; Go East on Scheuring Road off of Highway 41, turn right (south) on Lawrence Drive. Proceed to soccer fields on your right.</p>
 
 
 
 <p>&nbsp;</p>
 
 �",,,,
Spanish Immersion School,,Club Deportivo,"Spanish Immersion School, Lower level, 3578 S. 88th Street, Milwaukee, WI 53228",,,,,,,,,
Sportscore 1,Field Map,Rockford Raptors,"8800 E. Riverside Blvd.,",Loves Park,IL,6111,"https://www.google.com/maps/dir//Mercyhealth+Sportscore+One,+1288+Elmwood+Rd,+Rockford,+IL+61103/@42.8178687,-89.2154216,9z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8808bdb7cabf19df:0xfebacb172a563915!2m2!1d-89.0652935!2d42.3288661!3e0?entry=ttu",,,,,
Sportscore 2,Field Map,Rockford Raptors,1288 Elmwood Rd.,Rockford,IL,61103,"https://www.google.com/maps/dir//8800+E+Riverside+Blvd,+Loves+Park,+IL+61111/@42.8139394,-89.1749071,9z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8808ba08e2ac623d:0xa17d3f0126a44f3b!2m2!1d-88.9445289!2d42.3224161!3e0?entry=ttu",,,,,
SPRING GREEN PARK,Spring Green Park,3640 Spring Green Rd,"3640 Spring Green Rd, Green Bay, WI 54313",WI,,,54313,�,,,,
St. Augustine Prep Academy,Stadium Turf,Street Dreams/soccer across America/AC Torros,"2607 S 5th St, ",Milwaukee,WI,53207,"https://www.google.com/maps/dir//st.+augustine+prep+academy/@43.1511175,-88.1904697,11z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8805175ee90f77a1:0x58d7444bd1c3aaa0!2m2!1d-87.9174845!2d42.9975372",,,,,
St. Augustine Preparatory Academy,,Croatian Eagles,"St. Augustine Preparatory Academy, 2607 S. 5th St., Milwaukee, WI 53207",,,,,,,,,
ST. MARY'S SOCCER COMPLEX,St. Mary's Soccer Complex,Pine Mountain Road,"Pine Mountain Road, Iron Mountain, MI 49801",MI,,,49801,�,,,,
St. Sava,,United Serbian SC,"3265 S. 51st St.,",Milwaukee,WI,53219,"https://www.google.com/maps/place/3265+S+51st+St,+Milwaukee,+WI+53219/@42.985059,-87.9810007,17z/data=!3m1!4b1!4m5!3m4!1s0x88051066e75f2ae3:0xad3c2512c0745094!8m2!3d42.985059!4d-87.978812",,,,,
Stillwater HS MN,Field Map ,St. Croix SC,"5701 Stillwater Blvd N, Oak Park Heights, MN 55082",,,,,,,,,
Stoneridge Estate ,,SPSC,"6700 Tartan Trail, Sun Prairie, WI 53590",,,,,,,,,
Striker Park,#01,Jefferson Cup,"4801 Pouncey Tract Rd., Glen Allen, VA 23059",,,,,,,,,
Stuart Sports Complex,Field Map ,Eclipse,"Stuart Sports Complex, North Entracne field #01-#22 39W143 Jericho Rd, Aurora, IL 60506                       South Entrance, Field #23 - #31 US-30 & Griffin Dr, Montgomery, IL 60538",,,,,,,,,
Stuart Sports Complex,Field #01,Eclipse,"North Entriance: fields #1-#22 39W585 Jericho Road, Aurora, IL 60506                                                   South Entrances Fields #23-26 Route 30 and Griffin Drive, Montgomery, IL 60538",,,,,,,,,
SUNSET PARK,Sunset Park,800 W Kimberly Ave,"800 W Kimberly Ave, Kimberly, WI",WI,,,54136,�,,,,
Sunset Park West,,Kimberly SA,"Sunset Park West,800 West Kimberly Avenue, Kimberly, WI",,,,,,,,,
Surf Sports Park,,,"14989 Via De La Valle, Del Mar, CA 92014",,,,,,,,,
Sylvan Lake,Field E,Orlando Youth Soccer,"845 Lake Markham Rd., Sanford, FL 32771",,,,,,,,,
Techny Prairie Park & Fields,Field #1,Chicago Magic,"1750 Techny Rd, Northbrook, IL 60062",,,,,,,,,
"The TBK Bank Sports Complex, LLC",FIELD MAP,"Bettendorf, IA","4850 Competition Drive, Bettendorf, IA 52722",,,,,,,,,
TIPLER MIDDLE SCHOOL,Tipler Middle School,,"325 S. Eagle, Oshkosh, WI",WI,,,54902,"<p>Fields are located behind (west) the school. Parking is in the school lot or street parking on Bismark Ave. to the soth of the school/fields. The fields themselves are in a lowed basin below typical ground level.&nbsp;</p>
 
 �",,,,
Tomah Youth Soccer,VA Fields,Tomah SC,"500 E Veterans St,(Turn onto N. Glendale Ave., Tomah, WI 54660",,,,,,,,,
Trenton Fields,,,"1071 WI-33, West Bend, WI 53095",,,,,,,,,
Uihlein Soccer Park,TBA,MKSC,"7101 W. Good Hope Rd.,",Milwaukee,WI,53223,"https://www.google.com/maps/dir//7101+Good+Hope+Rd,+Milwaukee,+WI+53223/@43.1462617,-88.0002185,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88051d5b3b94d7ab:0xd49c2829e1da8887!2m2!1d-87.9980298!2d43.1462617!3e0",,,,,
Underwood Elementary,,MKSC TO (Tosa),"11132 W Potter Rd, ",Wauwatosa,WI,53226,"https://www.google.com/maps/dir//underwood+elementary+school/@43.1834978,-88.2915989,11z/data=!4m8!4m7!1m0!1m5!1m1!1s0x880505aadc116fed:0xcdb25ca73c320965!2m2!1d-88.0528963!2d43.041335",,,,,
Union Grove HS,,ACE SC,"3433 S Colony Ave, Union Grove, WI 53182",,,,,,,,,
United Sports Training Center,FIELD MAP,,"1426 Marshallton Thorndale Rd, Downingtown, PA 19335",,,,,,,,,
USA Youth Complex,Field Map,New United,"3300 E.  Evergreen Dr., ",Appleton,WI,54913,"https://www.google.com/maps/dir//Scheels+USA+Youth+Sports+Complex+Appleton,+WI+54913/@43.792296,-88.9315555,9z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8803b1848a26cfd5:0xfe911932435f988e!2m2!1d-88.3570079!2d44.304688",,,,,
UW Waukesha Field,FIELD MAP,SC Wave,"750 N University Dr., Waukesha, WI 53188",,,,,,,,,
UWO Rec Plex,Field North,Oshkosh Soccer Club,"140 OSCEOLA ST, OSHKOSH, WI 54901",,,,,,,,,
Valley Fields- MU fields,,Marquette University,"1818 Canal St., ",Milwaukee,WI,53223,"https://www.google.com/maps/dir//marquette+valley+fields/@43.1660321,-88.1924334,11z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88051a28db2f463f:0xdee72873e091d1c6!2m2!1d-87.9382797!2d43.03212",,,,,
Valley View Park- New Berlin,3,SC Waukesha New Berlin,"Valley View Park, 5051 S. Sunnyslope Rd.,",New Berlin,WI,53151,"https://www.google.com/maps/dir/''/valley+view+park+new+berlin/@42.9528866,-88.1620908,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88050932e47b15f1:0x2797391ee1822999!2m2!1d-88.0920509!2d42.952908",,,,,
Verhagen Park,Verhagen Park,870 W Third St,"870 W. Third St., Kimberly, WI 53136",WI,,,54136,�,,,,
Vernon Hills Athletic Complex,Field Map,"FC United, IL","300 Nike Pkwy, Vernon Hills, IL 60061",,,,,,,,,
Veterens Park,,LUFC,"2300 Union Avenue, Sheboygan, WI ",,,,,,,,,
Voice of America,Field Map,Kings Hammer (OH) Blue Chip,"7850 VOA Park Dr., West Chester Township, OH 45069",,,,,,,,,
Voigt SP,Field map F21,Elmbrook,"19485 W Lisbon Rd, ",Brookfield,WI,53045,"https://www.google.com/maps/dir/''/voigt+soccer+park+brookfield+wisconsin/@43.1028906,-88.2219165,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x880500be27362bb1:0x87ba9220eec0bf15!2m2!1d-88.1518767!2d43.102912",,,,,
Wales Community Park,16,Strike FC,"Wales Community Park, 420 S. Brandybrook Rd., ",Wales,WI,53183,"https://www.google.com/maps/dir/''/wales+community+park/@42.9952943,-88.450419,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8805ba6cf7daadcb:0x15e3447180e97d97!2m2!1d-88.3803792!2d42.9953157",,,,,
Warren County,Field Map,Kings Hammer (OH) Blue Chip,"1408 OH-741, Lebanon, OH 45036",,,,,,,,,
Washington Field,#4,Wisconsin Rapids SC,"1010 28th St N, , Wisconsin Rapids, WI 54494",,,,,,,,,
Waukegan Sports Park,,,"3391 W Beach Rd, Waukegan, IL 60085",,,,,,,,,
Waukesha North High School,,SC Wave,"2222 Michigan Ave, Waukesha, WI 53189",,,,,,,,,
Webster Middle School,Field A,Northshore United,"Webster Middle School, W75N624 Wauwatosa Rd., Cedarburg, WI 53012",,,,,,,,,
West Allis Athletic Complex,,Parkland,"11542 W Cleveland Ave,",Milwaukee,WI,53227,"https://www.google.com/maps/dir//West+Allis+Athletic+Complex,+West+Allis,+WI+53227/@42.9974646,-88.0590212,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88050f79562453e3:0x58d9362ffdc60f46!2m2!1d-88.056624!2d42.997475!3e0?entry=ttu",,,,,
West Bend High School,,SCW Washington County,"1525 E Decorah Rd, West Bend",,,,,,,,,
West Creek Fields,#10,VA Richmond Strikers,"West Creek Fields, 12575 West Creek Parkway,, Henrico, VA 23238",,,,,,,,,
West St. Paul Dome,Dome,MU BLACK,"1655 Livingston Ave, West St. Paul, MN 55118",,,,,,,,,
Wheeling High School,,Soccers FC/Magic,"Wheeling HS, 900 South elmhurst Rd., Wheeling, IL 60090",,,,,,,,,
Whitman Fields,,Serbians,"4200 S 54th St, Milwaukee, WI 53220",,,,,,,,,
Whitman Middle School,,MKSC Tosa,"11100 W Center St, Milwaukee, WI 53222",,,,,,,,,
Windsor Sports Commons,,Sun Prairie / Nordic,4198 Muller Rd,Deforst,WI,53532,"https://www.google.com/maps/dir//Windsor+Sports+Commons+(Linde+Fields),+4198+Muller+Rd,+DeForest,+WI+53532/@43.2668819,-89.3420913,14z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8806fc00a6216497:0x7e4823765e308ec1!2m2!1d-89.3222942!2d43.2548915!3e0",,,,,
WINNEBAGO COUNTY COMMUNITY PARK,Winnebago County Community Park,501 E County Road Y,"501 E. County Road Y, Oshkosh, WI 53532",WI,,,54901,"<p>From Hwy 41 - Hwy 76 (Jackson Street) South to County Road Y Left to park entrance and right to fields&nbsp;</p>
 
 
 
 <p>From the south in Oshkosh - North on&nbsp;Jackson Street to Snell Road and right (east) to park entrance and left to fields</p>
 
 �",,,,
WINNECONNE SOCCER COMPLEX,Winneconne Soccer Complex,Wolf Run,Winneconne,WI,,,54986,"<p>HWY 45 to HWY 116 West to 9th Street and Right to soccer fields on Wolf Run near sports fields</p>
 
 �",,,,
Winter Park,,,"9520 Viking Drive, Eden Prairie",,MN,55344,,,,,,
Wirth Park South,,Elmbrook SC,"16154-16178 W North Ave, Brookfield, WI 53005",,,,,,,,,
Wisconsin Lutheran College,Raabe Stadium,Elmbrook SC,"1401 Swan Boulevard, Wauwatosa, WI 53226",,,,,,,,,
Wittmann Park - MENASHA,Field #11 w/note,WIUFC,"1000 W. Airport Road, Menash, WI 54952",,,,,,,,,
WITTMANN PARK - MENASHA,Wittmann Park - Menasha,1000 W. Airport Road,"1000 W. Airport Rd., Menasha, WI 54952",WI,,,54952,"<p>Airport Road, between Earl Street and Highway &quot;47&quot; (Appleton Road). Entrance driveway is across from Mayer Street</p>
 
 �",,,,
Woodside (Dells) Sports Complex,,,"4770 State Hwy 13, Wisconsin Dells, WI 53965",,,,,,,,,
"Woodside-Wisconsin Dells (WD): 4770 State Hwy 13, Wisconsin Dells, WI 53965",,,,,,,,,,,,
"Woodside -Mauston (M): 4217 W50th Street, Mauston, WI 53948",,,,,,,,,,,,
"Woodside DOME - outside - 2100 River Rd, Wisconsin Dells, WI 53965",,,,,,,,,,,,
"Wisconsin Dells HS- 1501 Brew Farm Road Wisconsin Dells, WI 53965",,,,,,,,,,,,
,,,,,,,,,,,,
World Wide Technology Park,,,"World Wide Technology Soccer Park | 1 Soccer Park Road, Fenton, MO 63026",,,,,,,,,
WRIGHTSTOWN HS,Wrightstown HS,600 High St,"600 High St., Wrightstown, WI 54180",WI,,,54180,,,,,
Xcel Sportsplex,SC Wave Titletown,,"2693 W Grand Chute Blvd Appleton, WI 54913",,,,,,,,,